ageb,P6A14NAE,SBASC,PSDSS,OVSDE,OVSEE,OVSAE,OVPT,OVSREF,OVSINT,OVSCEL,OVHAC
1123,10.2040816326531,30.8541545613016,17.6234979973298,0.0448430493273543,0.0448430493273543,0.179372197309417,1.16591928251121,3.7219730941704,34.5739910313901,7.04035874439462,20.0896860986547
1142,3.83631713554987,23.2374100719424,19.4990176817289,0.0491400491400491,0.884520884520885,0.491400491400491,1.62162162162162,6.73218673218673,14.6437346437346,2.35872235872236,25.7985257985258
1157,3.125,27.8128950695322,17.704280155642,0.0,0.0973709834469328,0.0973709834469328,1.94741966893866,4.08958130477118,16.5530671859786,5.55014605647517,21.811100292113
1161,0.0,26.9372693726937,22.3564954682779,0.0,1.20845921450151,0.906344410876133,12.3867069486405,6.04229607250755,14.5015105740181,5.74018126888217,29.607250755287
1176,3.18091451292246,13.5211925622262,17.4649963154016,0.0,0.0370507595405706,0.111152278621712,0.370507595405706,1.96369025565024,21.0818821785847,2.29714709151538,11.6339384957392
1195,4.51127819548872,29.009009009009,20.7485226526592,0.0,0.132275132275132,0.0,3.95778364116095,9.12698412698413,33.6640211640212,3.17460317460317,25.3306878306878
1208,6.71641791044776,35.5737704918033,20.4031765424557,0.0611246943765281,0.0611246943765281,0.0,0.855745721271394,5.07334963325183,40.158924205379,6.35696821515892,25.7946210268949
1212,1.8018018018018,18.5840707964602,19.9675324675325,0.0,0.0,0.162866449511401,0.0,1.30293159609121,18.5667752442997,1.46579804560261,26.3843648208469
1227,3.88349514563107,4.14788097385031,15.8156028368794,0.0,0.0,0.0,0.0,0.0,1.71551107934239,0.214438884917798,3.71694067190851
1231,5.71428571428571,34.0136054421769,25.2485089463221,0.0,1.0934393638171,0.298210735586481,2.48508946322068,5.86481113320079,35.8846918489066,4.27435387673956,31.2127236580517
1246,3.54609929078014,29.3352601156069,16.3793103448276,0.0,0.107874865156419,0.0,1.1866235167206,0.970873786407767,30.5285868392665,4.20711974110032,18.554476806904
1250,4.43548387096774,33.4742180896027,19.2234245703374,0.0638162093171666,0.510529674537333,0.0638162093171666,3.44607530312699,2.1059349074665,33.6949585194639,3.063178047224,21.059349074665
1265,4.21686746987952,18.8064315073108,18.3937823834197,0.0,0.104275286757039,0.0,0.0521648408972353,3.07612095933264,26.3598326359833,6.46506777893639,14.0771637122002
127A,10.2564102564103,24.3445692883895,17.6236044657097,0.161550888529887,0.161550888529887,0.646203554119548,1.05008077544426,3.63489499192246,26.1712439418417,9.77382875605816,16.1550888529887
1284,5.0,29.811320754717,12.2705314009662,0.0969932104752667,0.387972841901067,0.2909796314258,1.64888457807953,4.0737148399612,23.6663433559651,6.78952473326867,19.7866149369544
1299,2.20264317180617,28.59450726979,23.125,0.0,0.189274447949527,0.252365930599369,1.38801261829653,3.84858044164038,32.2397476340694,7.06624605678233,16.9085173501577
1301,3.6144578313253,6.71140939597315,17.6470588235294,0.0,0.0,0.0,0.0,0.0,3.74787052810903,0.343053173241852,1.53321976149915
1316,6.45161290322581,15.5985489721886,19.7297297297297,0.0,0.270513976555455,0.270513976555455,1.71325518485122,1.35256988277728,16.5013525698828,2.07394048692516,11.8124436429216
1320,2.61780104712042,34.2431761786601,20.026525198939,0.199468085106383,0.0664893617021276,0.265957446808511,1.46276595744681,2.59308510638298,38.4973404255319,6.91489361702128,17.7526595744681
1335,2.49221183800623,21.6374269005848,17.6052163604031,0.0,0.2963841138115,0.2371072910492,0.4149377593361,6.34262003556609,28.9863663307647,2.7860106698281,37.0480142264375
134A,7.07964601769912,30.9405940594059,17.5559380378657,0.0,0.0,0.0,4.86111111111111,4.6875,38.8888888888889,3.47222222222222,22.7430555555556
1354,2.29226361031519,22.1976401179941,15.2836134453782,0.0,0.0,0.533617929562433,1.6008537886873,3.84204909284952,26.7876200640342,2.45464247598719,19.3169690501601
1369,3.6231884057971,25.1670378619154,11.6261398176292,0.0759878419452888,0.303951367781155,0.455927051671732,0.0759878419452888,4.40729483282675,32.4961948249619,2.0516717325228,37.1580547112462
1373,1.75438596491228,21.4111922141119,16.4912280701754,0.175438596491228,0.526315789473684,2.80701754385965,4.3859649122807,4.21052631578947,32.4561403508772,1.57894736842105,37.8947368421053
1388,0.0,8.45070422535211,17.7777777777778,1.13636363636364,0.0,0.0,1.13636363636364,1.13636363636364,1.13636363636364,0.0,11.3636363636364
1392,2.38095238095238,24.0223463687151,25.2,0.8,0.0,0.0,0.8,7.2,42.0,3.2,49.2
1405,0.0,2.45614035087719,28.3544303797468,0.0,0.0,0.0,0.0,0.253164556962025,1.26582278481013,0.0,2.27848101265823
141A,2.1505376344086,15.6896551724138,12.128418549346,0.0,0.535475234270415,2.54350736278447,1.60642570281124,3.7483266398929,18.6077643908969,2.67737617135207,17.0013386880857
1424,4.1522491349481,20.4787234042553,17.0280612244898,0.0,0.255918106206014,0.575815738963532,0.0,5.69417786308381,31.2220089571337,3.39091490722969,23.0326295585413
1439,6.91358024691358,33.9125855713533,19.5226917057903,0.0,0.234741784037559,0.0391236306729265,5.04694835680751,5.79029733959311,29.9295774647887,5.39906103286385,29.773082942097
1458,4.43548387096774,35.3571428571429,19.9612403100775,0.0,0.0485436893203883,0.0,0.776699029126214,3.78640776699029,30.1941747572816,10.631067961165,16.747572815534
1462,2.9940119760479,12.3789020452099,16.2045060658579,0.0,0.0868809730668983,0.0,0.347523892267593,0.868809730668984,10.8601216333623,2.17202432667246,4.60469157254561
